Date,MaxT,MinT,AvgT,Tdeparture,HDD,CDD,Precipitation,New Snow,Snow Depth
10/20/2021,73,53,63,9.4,2,0,T,0,0
10/21/2021,66,47,56.5,3.3,8,0,T,0,0
10/22/2021,56,45,50.5,-2.2,14,0,T,0,0
10/23/2021,56,40,48,-4.3,17,0,0,0,0
10/24/2021,52,41,46.5,-5.4,18,0,2.69,0,0
10/25/2021,54,49,51.5,0,13,0,1.02,0,0
10/26/2021,56,41,48.5,-2.6,16,0,0,0,0
10/27/2021,57,39,48,-2.7,17,0,0,0,0
10/28/2021,56,48,52,1.7,13,0,0.34,0,0
10/29/2021,56,53,54.5,4.6,10,0,0.93,0,0
10/30/2021,58,45,51.5,2.1,13,0,0.07,0,0
10/31/2021,54,38,46,-3,19,0,0,0,0
11/1/2021,49,34,41.5,-7.1,23,0,0,0,0
11/2/2021,48,32,40,-8.2,25,0,0,0,0
11/3/2021,46,30,38,-9.8,27,0,0,0,0
11/4/2021,48,30,39,-8.3,26,0,0,0,0
11/5/2021,52,34,43,-3.9,22,0,0,0,0
11/6/2021,60,35,47.5,1,17,0,0,0,0
11/7/2021,66,41,53.5,7.5,11,0,0,0,0
11/8/2021,66,48,57,11.4,8,0,0,0,0
11/9/2021,57,43,50,4.8,15,0,0,0,0
11/10/2021,58,40,49,4.3,16,0,T,0,0
11/11/2021,58,38,48,3.7,17,0,0.52,0,0
11/12/2021,43,34,38.5,-5.4,26,0,0.04,T,0
11/13/2021,41,34,37.5,-5.9,27,0,T,T,0
11/14/2021,38,34,36,-7,29,0,0.04,T,0
11/15/2021,36,30,33,-9.6,32,0,T,T,0
11/16/2021,57,32,44.5,2.4,20,0,0,0,0
11/17/2021,62,41,51.5,9.8,13,0,0.19,0,0
11/18/2021,41,33,37,-4.3,28,0,T,T,0
11/19/2021,40,26,33,-7.8,32,0,T,T,0
11/20/2021,50,36,43,2.6,22,0,0,0,0
11/21/2021,55,30,42.5,2.5,22,0,0.03,0,0
11/22/2021,37,24,30.5,-9.1,34,0,0,0,0
11/23/2021,43,25,34,-5.2,31,0,0,0,0
11/24/2021,53,37,45,6.3,20,0,0.07,0,0
11/25/2021,49,24,36.5,-1.8,28,0,0.01,T,0
11/26/2021,31,19,25,-12.9,40,0,0,0,0
11/27/2021,41,30,35.5,-2,29,0,T,0,0
11/28/2021,41,26,33.5,-3.7,31,0,0,0,0
11/29/2021,41,26,33.5,-3.3,31,0,T,0,0
11/30/2021,53,33,43,6.6,22,0,0,0,0
12/1/2021,48,35,41.5,5.5,23,0,T,0,0
12/2/2021,59,44,51.5,15.8,13,0,T,0,0
12/3/2021,51,39,45,9.7,20,0,0,0,0
12/4/2021,46,31,38.5,3.6,26,0,0,0,0
12/5/2021,43,35,39,4.4,26,0,0.26,T,0
12/6/2021,38,15,26.5,-7.8,38,0,0,0,0
12/7/2021,25,13,19,-14.9,46,0,T,T,0
12/8/2021,36,24,30,-3.6,35,0,T,T,0
12/9/2021,47,28,37.5,4.2,27,0,0,0,0
12/10/2021,61,33,47,14,18,0,0.86,0,0
12/11/2021,59,30,44.5,11.8,20,0,T,0,0
12/12/2021,50,30,40,7.6,25,0,0,0,0
12/13/2021,50,36,43,10.9,22,0,0,0,0
